Drug1,Drug2,Dose1,Dose2,LiverEnzymesIncrease,DILI
Aspirin,Tylenol,500,325,200,1
Ibuprofen,Advil,400,200,150,1
Metformin,Glipizide,1000,5,100,0
Simvastatin,Atorvastatin,20,40,300,1
Lisinopril,Hydrochlorothiazide,10,25,50,0
Omeprazole,Clarithromycin,20,500,250,1
Amoxicillin,ClavulanicAcid,500,125,300,0
Azithromycin,Prednisone,500,20,100,1
Cetirizine,Diphenhydramine,10,25,50,0
Warfarin,Heparin,5,1000,500,1
Amlodipine,Losartan,10,50,30,0
Gabapentin,Pregabalin,300,75,20,0
Codeine,Hydrocodone,60,30,200,1
Acetaminophen,Codeine,650,30,400,1
Sildenafil,Tadalafil,50,10,150,0
Ciprofloxacin,Levofloxacin,500,750,100,1
Hydrochlorothiazide,Spironolactone,25,50,20,0
Loratadine,Desloratadine,10,5,10,0
Clopidogrel,Aspirin,75,100,150,1
Ranitidine,Omeprazole,150,20,100,0
Fluoxetine,Sertraline,20,50,200,1
