Drug1,Drug2,Dose1,Dose2,LiverEnzymesIncrease,DILI
Acetaminophen,Ibuprofen,500,200,Yes,1
Acetaminophen,Azithromycin,500,250,No,0
Acetaminophen,Amoxicillin,500,125,Yes,1
Acetaminophen,Simvastatin,500,20,No,0
Acetaminophen,Warfarin,500,5,Yes,1
Acetaminophen,Methotrexate,500,15,Yes,1
Acetaminophen,Sildenafil,500,100,Yes,1
Acetaminophen,Dexamethasone,500,20,No,0
Ibuprofen,Azithromycin,400,250,Yes,1
Ibuprofen,Amoxicillin,400,125,No,0
Ibuprofen,Simvastatin,400,20,Yes,1
Ibuprofen,Warfarin,400,5,No,0
Ibuprofen,Methotrexate,400,15,Yes,1
Ibuprofen,Sildenafil,400,100,No,0
Azithromycin,Amoxicillin,250,125,Yes,1
Azithromycin,Simvastatin,250,20,No,0
Azithromycin,Warfarin,250,5,Yes,1
Azithromycin,Methotrexate,250,15,No,0
Azithromycin,Sildenafil,250,100,Yes,1
Amoxicillin,Simvastatin,125,20,No,0
Amoxicillin,Warfarin,125,5,Yes,1
Amoxicillin,Methotrexate,125,15,No,0
Simvastatin,Warfarin,20,5,Yes,1
Simvastatin,Methotrexate,20,15,No,0
Warfarin,Methotrexate,5,15,Yes,1
Sildenafil,Erythromycin,100,500,Yes,1
Sildenafil,Lisinopril,100,20,No,0
Sildenafil,Metformin,100,500,Yes,1
Methotrexate,Prednisone,15,10,Yes,1
Methotrexate,Ibuprofen,15,400,No,0
Dexamethasone,Ibuprofen,20,400,Yes,1
Dexamethasone,Warfarin,20,5,No,0
Dexamethasone,Sildenafil,20,100,Yes,1
Dexamethasone,Methotrexate,20,15,No,0
Lisinopril,Metformin,10,500,Yes,1
Lisinopril,Clarithromycin,10,500,No,0
Warfarin,Clarithromycin,5,500,Yes,1
Methotrexate,Clarithromycin,15,500,No,0
Acetaminophen,Dexamethasone,500,20,Yes,1
Warfarin,Amiodarone,5,200,Yes,1
Warfarin,Hydrochlorothiazide,5,25,No,0
